"";"id";"email"
"0";"204554";"dep.abiliosantana@camara.leg.br"
"1";"204521";"dep.abouanni@camara.leg.br"
"2";"204379";"dep.acaciofavacho@camara.leg.br"
"3";"204560";"dep.adolfoviana@camara.leg.br"
"4";"204528";"dep.adrianaventura@camara.leg.br"
"5";"121948";"dep.adrianodobaldy@camara.leg.br"
"6";"74646";"dep.aecioneves@camara.leg.br"
"7";"160508";"dep.afonsoflorence@camara.leg.br"
"8";"136811";"dep.afonsohamm@camara.leg.br"
"9";"178835";"dep.afonsomotta@camara.leg.br"
"10";"160527";"dep.aguinaldoribeiro@camara.leg.br"
"11";"204495";"dep.airtonfaleiro@camara.leg.br"
"12";"204549";"dep.ajalbuquerque@camara.leg.br"
"13";"178836";"dep.alanrick@camara.leg.br"
"14";"160559";"dep.alceumoreira@camara.leg.br"
"15";"204413";"dep.alcidesrodrigues@camara.leg.br"
"16";"204545";"dep.alesilva@camara.leg.br"
"17";"204501";"dep.alencarsantanabraga@camara.leg.br"
"18";"160511";"dep.alessandromolon@camara.leg.br"
"19";"178972";"dep.alexmanente@camara.leg.br"
"20";"204571";"dep.alexsantana@camara.leg.br"
"21";"204544";"dep.alexandrefrota@camara.leg.br"
"22";"160545";"dep.alexandreleite@camara.leg.br"
"23";"204503";"dep.alexandrepadilha@camara.leg.br"
"24";"178833";"dep.alexandreserfiotis@camara.leg.br"
"25";"204516";"dep.alexisfonteyne@camara.leg.br"
"26";"74057";"dep.aliceportugal@camara.leg.br"
"27";"178927";"dep.alielmachado@camara.leg.br"
"28";"204353";"dep.alinegurgel@camara.leg.br"
"29";"204400";"dep.alinesleutjes@camara.leg.br"
"30";"178881";"dep.aluisiomendes@camara.leg.br"
"31";"204356";"dep.amaroneto@camara.leg.br"
"32";"178831";"dep.andreabdon@camara.leg.br"
"33";"74471";"dep.andredepaula@camara.leg.br"
"34";"204423";"dep.andreferreira@camara.leg.br"
"35";"133439";"dep.andrefigueiredo@camara.leg.br"
"36";"178882";"dep.andrefufuca@camara.leg.br"
"37";"204515";"dep.andrejanones@camara.leg.br"
"38";"73696";"dep.angelaamin@camara.leg.br"
"39";"160553";"dep.antoniobrito@camara.leg.br"
"40";"73433";"dep.arlindochinaglia@camara.leg.br"
"41";"141391";"dep.arnaldojardim@camara.leg.br"
"42";"204414";"dep.aroldomartins@camara.leg.br"
